,店舗立地（郊外0）,単独出店0・商業施設内1,店舗タイプSM0,売場面積（坪）,駐車場台数,1km以内競合店舗数,徒歩合計,車合計,核家族の一般世帯数,６歳未満世帯員のいる一般世帯数,６５歳以上世帯員のいる一般世帯数,予測結果
0,0.0,0.0,0.0,144.0,0.0,7.0,21533.0,293530.0,72421.0,10238.0,65169.0,1527233860.0616553
1,0.0,0.0,1.0,355.0,112.0,1.0,6250.0,51787.0,16306.0,12293.0,1754.0,1527233702.6830175
2,0.0,0.0,1.0,419.0,197.0,4.0,6680.0,144649.0,42232.0,29840.0,6473.0,1527233761.5946565
3,0.0,0.0,0.0,477.0,85.0,0.0,2650.0,113309.0,35750.0,23038.0,5038.0,1527233742.1422427
